Uniprot	Histones	Absolute quantification accuracy	Length	Mass	Chromatome	Unique_razor_pept	Total_pept	Copy number Chromatome	protein_group
NaN		high	917	104.804	NaN	13	13	0	Q9Y5B6
NaN		high	786	89.375	NaN	12	12	0	A1A4S6
NaN		high	1192	129.931	NaN	12	12	0	Q9NQC3
NaN		high	475	51.901	NaN	8	8	0	Q01518
NaN		medium	418	46.939	NaN	5	5	0	Q9Y2T2
NaN		high	527	57.258	NaN	8	8	0	Q96RE7
NaN		medium	488	55.278	NaN	6	6	0	O75907
NaN		high	672	73.732	NaN	8	8	0	Q8NCG7
NaN		low	248	27.774	NaN	2	5	0	P31947
NaN		high	858	90.713	NaN	11	12	0	Q8IXK0
NaN		medium	279	32.663	NaN	4	4	0	Q9BW60
NaN		high	727	81.317	NaN	9	9	0	P46199
NaN		medium	440	47.535	NaN	4	6	0	Q13363
NaN		low	100	11.456	NaN	2	2	0	Q8N0T1
NaN		high	660	76.329	NaN	9	9	0	Q9NW15
NaN		high	815	92.154	NaN	10	11	0	P52756
NaN		medium	385	43.359	NaN	6	6	0	Q9BRX2
NaN		medium	279	31.884	NaN	4	5	0	Q9BQ75
NaN		high	2581	290.519	NaN	28	35	0	Q9HCK8
NaN		high	890	97.205	NaN	9	11	0	Q8NDT2
NaN		medium	305	34.208	NaN	5	5	0	Q15287
NaN		high	979	104.758	NaN	11	11	0	P22670
NaN		medium	283	31.834	NaN	4	4	0	P78345
NaN		medium	308	33.87	NaN	4	4	0	Q9UHR5
NaN		medium	508	59.38	NaN	6	6	0	Q8WXA9
NaN		medium	195	21.452	NaN	3	3	0	Q9Y3B2
NaN		medium	178	19.258	NaN	3	3	0	O60831
NaN		medium	308	34.378	NaN	4	4	0	Q13889
NaN		low	142	16.228	NaN	2	2	0	Q9NPJ8
NaN		medium	99	10.577	NaN	3	3	0	Q9UNZ5
NaN		medium	521	57.811	NaN	4	6	0	O00505
NaN		medium	298	33.93	NaN	4	4	0	P24941
NaN		medium	410	46.682	NaN	6	6	0	Q9H5I1
NaN		medium	299	34.6	NaN	5	5	0	Q9NVA1
NaN		high	860	96.257	NaN	12	12	0	Q5C9Z4
NaN		medium	593	67.09	NaN	7	7	0	Q9Y483
NaN		medium	487	56.035	NaN	7	7	0	Q6P1A2
NaN		medium	376	43.381	NaN	6	6	0	Q9NRZ7
NaN		medium	364	40.594	NaN	6	6	0	Q15906
NaN		medium	422	46.672	NaN	7	7	0	Q9GZR2
NaN		high	1167	131.616	NaN	16	16	0	Q76FK4
NaN		medium	582	64.888	NaN	6	6	0	Q9UQ13
NaN		high	800	86.83	NaN	12	12	0	Q15542
NaN		medium	539	62.166	NaN	7	7	0	Q12899
NaN		low	373	40.518	NaN	2	5	0	Q5VZF2
NaN		medium	309	35.823	NaN	4	4	0	P51948
NaN		high	903	102.803	NaN	10	13	0	Q96J02
NaN		medium	342	39.86	NaN	3	3	0	Q99633
NaN		high	904	102.335	NaN	13	13	0	Q8IYB3
NaN		medium	195	22.324	NaN	3	3	0	P62341
NaN		high	590	66.247	NaN	8	8	0	Q8IXH7
NaN		medium	392	42.907	NaN	6	6	0	Q9H0C8
NaN		medium	293	32.61	NaN	4	4	0	Q8NDD1
NaN		medium	700	77.257	NaN	7	7	0	Q9UQR0
NaN		high	695	80.735	NaN	8	8	0	Q02040
NaN		low	495	55.581	NaN	2	6	0	Q9P2K3
NaN		high	2230	261.14	NaN	27	27	0	Q13439
NaN		medium	1855	215.405	NaN	18	25	0	Q9Y4I1
NaN		high	633	69.477	NaN	9	9	0	P18887
NaN		low	196	22.958	NaN	2	2	0	O15258
NaN		low	252	25.431	NaN	2	2	0	Q9BXK1
NaN		high	1461	156.02	NaN	15	15	0	Q5VT52
NaN		high	747	82.578	NaN	8	8	0	O00391
NaN		medium	521	56.931	NaN	5	6	0	Q14119
NaN		medium	420	47.442	NaN	3	6	0	O00712
NaN		high	3433	394.466	NaN	32	32	0	P46939
NaN		medium	538	56.052	NaN	6	6	0	Q6SPF0
NaN		medium	387	43.215	NaN	4	4	0	Q96FK6
NaN		high	1234	138.799	NaN	13	13	0	Q01970
NaN		medium	492	57.225	NaN	6	6	0	Q8WUA2
NaN		medium	246	28.425	NaN	4	4	0	O75586
NaN		low	58	7.004	NaN	2	2	0	P53803
NaN		high	1312	139.27	NaN	12	13	0	Q9H7N4
NaN		high	2039	229.481	NaN	18	18	0	Q92576
NaN		high	1017	111.835	NaN	10	10	0	P54198
NaN		high	1454	160.607	NaN	15	15	0	O60244
NaN		medium	262	27.347	NaN	3	3	0	Q5UCC4
NaN		medium	322	37.336	NaN	4	4	0	Q9Y388
NaN		medium	421	44.915	NaN	4	4	0	Q66PJ3
NaN		low	161	17.924	NaN	2	2	0	Q16514
NaN		medium	465	52.8	NaN	6	6	0	Q8IUF8
NaN		high	926	105.123	NaN	9	9	0	O14936
NaN		medium	677	76.21	NaN	7	7	0	Q8TAF3
NaN		high	951	104.822	NaN	10	10	0	Q12872
NaN		medium	422	44.746	NaN	5	5	0	Q8N9M1
NaN		medium	271	30.477	NaN	3	3	0	Q8N567
NaN		low	200	21.073	NaN	2	2	0	Q9NX70
NaN		high	1087	121.17	NaN	11	11	0	Q9Y6K5
NaN		medium	567	64.552	NaN	6	6	0	Q6NW34
NaN		medium	480	50.414	NaN	6	6	0	Q9BTD8
NaN		medium	220	23.306	NaN	3	3	0	O75446
NaN		high	939	107.113	NaN	11	11	0	Q14149
NaN		medium	500	57.461	NaN	6	6	0	Q9C037
NaN		high	1239	139.562	NaN	12	12	0	P54098
NaN		low	189	21.163	NaN	2	2	0	Q9BQE4
NaN		high	1268	137.418	NaN	11	11	0	O95487
NaN		medium	707	79.698	NaN	7	7	0	Q9BU23
NaN		high	782	89.278	NaN	8	8	0	P19447
NaN		medium	583	66.206	NaN	6	6	0	Q9UGN5
NaN		medium	323	35.214	NaN	4	4	0	Q08722
NaN		medium	802	90.072	NaN	7	7	0	Q5VWQ0
NaN		high	1362	152.219	NaN	10	13	0	O60885
NaN		high	1204	134.323	NaN	10	10	0	Q9H0H0
NaN		medium	394	44.256	NaN	4	4	0	Q6P6C2
NaN		medium	237	26.538	NaN	3	3	0	P55061
NaN		high	837	93.926	NaN	8	9	0	Q92830
NaN		high	1544	175.658	NaN	14	15	0	Q9UGL1
NaN		low	177	19.463	NaN	2	2	0	P62633
NaN		medium	542	61.946	NaN	4	4	0	Q5TKA1
NaN		high	1336	145.891	NaN	13	13	0	Q9C0J8
NaN		medium	294	32.933	NaN	3	3	0	Q9UL40
NaN		medium	498	54.284	NaN	5	5	0	Q9Y6W5
NaN		high	2177	243.081	NaN	18	18	0	Q93074
NaN		high	1214	137.499	NaN	11	12	0	P55201
NaN		low	119	12.926	NaN	1	1	0	A0A0B4J1V0
NaN		high	1019	107.995	NaN	10	10	0	Q6P9B9
NaN		medium	441	49.108	NaN	5	5	0	Q9BX95
NaN		high	2069	236.446	NaN	17	18	0	Q9BZ29
NaN		medium	664	76.178	NaN	6	6	0	Q8N5G2
NaN		medium	356	38.637	NaN	3	3	0	Q9C086
NaN		medium	638	68.896	NaN	4	4	0	P52747
NaN		medium	473	55.528	NaN	4	4	0	P48651
NaN		high	1060	117.864	NaN	9	10	0	Q9UPP1
NaN		medium	351	38.99	NaN	4	4	0	P49770
NaN		medium	485	54.911	NaN	4	4	0	Q9UHN1
NaN		high	1792	201.564	NaN	16	16	0	Q7Z6E9
NaN		medium	580	64.24	NaN	4	4	0	O75909
NaN		high	1163	127.459	NaN	9	9	0	Q9UHB7
NaN		medium	642	73.913	NaN	7	7	0	O14777
NaN		medium	683	76.987	NaN	6	6	0	Q8WWK9
NaN		medium	495	56.223	NaN	4	4	0	Q9NS91
NaN		medium	508	55.081	NaN	4	4	0	Q8IZP0
NaN		medium	528	57.277	NaN	4	4	0	Q9H3P2
NaN		medium	484	57.291	NaN	3	4	0	P49759
NaN		medium	877	96.793	NaN	7	7	0	Q9Y2X0
NaN		medium	483	57.762	NaN	4	4	0	Q9BZI7
NaN		low	134	14.832	NaN	1	1	0	Q8WZ26
NaN		high	1235	142.695	NaN	11	11	0	Q9H2G2
NaN		high	1337	145.941	NaN	8	8	0	Q12913
NaN		low	199	23.612	NaN	2	2	0	Q96NC0
NaN		medium	557	61.864	NaN	5	5	0	O75879
NaN		medium	365	40.796	NaN	3	3	0	Q9Y371
NaN		high	1076	122.954	NaN	8	8	0	O60524
NaN		low	76	8.498	NaN	1	1	0	Q9Y5V0
NaN		high	1143	130.96	NaN	8	8	0	Q86XI2
NaN		low	234	26.655	NaN	2	2	0	O95772
NaN		medium	758	88.702	NaN	5	5	0	Q8WUQ7
NaN		low	346	38.45	NaN	2	2	0	Q9UBE0
NaN		medium	392	46.189	NaN	3	3	0	Q8NBL1
NaN		low	180	19.737	NaN	2	2	0	Q9NSP4
NaN		high	3230	343.555	NaN	22	22	0	Q6ZRS2
NaN		low	214	22.937	NaN	2	2	0	Q86Y79
NaN		medium	396	45.778	NaN	3	3	0	Q8TAD8
NaN		high	1835	197.391	NaN	14	14	0	Q68CP9
NaN		medium	468	50.87	NaN	3	3	0	Q9Y2Z9
NaN		medium	788	86.753	NaN	7	7	0	Q96RN5
NaN		low	184	20.997	NaN	2	2	0	Q9H875
NaN		high	1094	121.32	NaN	9	9	0	O00203
NaN		high	1250	141.103	NaN	9	9	0	Q2NKX8
NaN		medium	745	85.567	NaN	7	7	0	O60645
NaN		medium	658	73.814	NaN	5	5	0	Q9NV88
NaN		high	1555	173.05	NaN	12	12	0	O94913
NaN		medium	507	58.121	NaN	4	4	0	Q9Y672
NaN		medium	713	76.193	NaN	4	4	0	Q7Z4F1
NaN		low	327	36.504	NaN	2	2	0	Q7L5D6
NaN		medium	757	87.34	NaN	6	6	0	Q9ULG6
NaN		low	171	19.843	NaN	2	2	0	Q9NPH9
NaN		medium	904	98.637	NaN	6	6	0	Q86UK7
NaN		medium	822	91.882	NaN	6	6	0	Q12929
NaN		medium	558	66.39	NaN	4	4	0	Q9H0G5
NaN		medium	458	52.291	NaN	3	3	0	Q86UB9
NaN		low	185	21.08	NaN	1	1	0	Q9UNL2
NaN		low	305	34.843	NaN	2	2	0	P28328
NaN		medium	666	75.404	NaN	4	4	0	Q8WVC0
NaN		medium	781	81.925	NaN	3	3	0	Q02447
NaN		low	299	35.293	NaN	2	2	0	Q9NYP7
NaN		high	1668	196.635	NaN	11	11	0	Q5T200
NaN		low	317	35.813	NaN	2	2	0	Q9P0W2
NaN		medium	1117	124.602	NaN	6	6	0	Q69YQ0
NaN		medium	968	112.135	NaN	7	7	0	O94804
NaN		medium	395	44.419	NaN	3	3	0	Q13888
NaN		medium	704	80.652	NaN	4	4	0	Q9BYT8
NaN		low	406	43.955	NaN	2	2	0	Q9H4K7
NaN		high	1686	190.68	NaN	10	10	0	O00443
NaN		medium	1066	114.216	NaN	3	6	0	Q8TB72
NaN		high	1123	128.644	NaN	7	8	0	P78332
NaN		medium	531	57.491	NaN	3	4	0	Q9UKA9
NaN		medium	857	97.072	NaN	5	5	0	P33981
NaN		low	184	20.086	NaN	1	1	0	Q96IS3
NaN		high	3664	402.248	NaN	19	19	0	Q96T58
NaN		low	337	37.238	NaN	2	2	0	O43414
NaN		medium	521	55.938	NaN	3	3	0	Q14814
NaN		medium	624	70.484	NaN	4	4	0	Q9H981
NaN		high	1859	206.446	NaN	8	8	0	Q92538
NaN		low	420	47.685	NaN	2	2	0	Q01344
NaN		low	101	11.216	NaN	1	1	0	Q9P021
NaN		medium	800	88.157	NaN	4	4	0	Q96PV6
NaN		medium	785	80.693	NaN	3	3	0	P08047
NaN		medium	1048	110.324	NaN	6	6	0	Q9H0E3
NaN		medium	1235	135.336	NaN	7	7	0	Q9H0E9
NaN		medium	567	62.106	NaN	3	3	0	O43189
NaN		high	2157	228.863	NaN	9	9	0	P48634
NaN		medium	805	90.522	NaN	4	4	0	P17010
NaN		medium	1246	138.734	NaN	5	5	0	Q92833
NaN		medium	512	57.983	NaN	3	3	0	Q8N108
NaN		low	316	35.415	NaN	1	2	0	P27216
NaN		low	393	42.89	NaN	2	2	0	Q9NQR1
NaN		medium	931	103.345	NaN	3	3	0	Q9BRR8
NaN		low	416	46.554	NaN	2	2	0	Q9Y6K0
NaN		medium	907	103.571	NaN	4	4	0	Q96CW5
NaN		medium	1649	178.666	NaN	4	5	0	Q9P1Y6
NaN		low	132	15.693	NaN	1	1	0	Q075Z2
NaN		low	198	23.003	NaN	1	1	0	O95379
NaN		low	291	32.286	NaN	1	1	0	Q9NPC8
NaN		low	205	23.787	NaN	1	1	0	P20827
NaN		high	2540	284.525	NaN	9	9	0	Q15652
NaN		low	394	46.399	NaN	2	2	0	Q9HA82
NaN		medium	841	92.82	NaN	3	3	0	Q3KQU3
NaN		low	441	50.141	NaN	1	1	0	Q96BR9
NaN		medium	1068	123.098	NaN	4	4	0	Q7Z3V4
NaN		low	398	45.282	NaN	2	2	0	O95067
NaN		low	499	55.391	NaN	1	3	0	Q16352
NaN		medium	881	98.503	NaN	3	3	0	Q9H4G0
NaN		medium	846	95.024	NaN	3	3	0	Q9Y4K4
NaN		low	478	55.254	NaN	2	2	0	Q16670
NaN		medium	1261	135.617	NaN	4	4	0	O75128
NaN		low	215	23.223	NaN	1	1	0	Q9H009
NaN		low	196	21.631	NaN	1	1	0	A6NFU8
NaN		low	1052	117.749	NaN	2	2	0	Q14703
NaN		low	451	52.357	NaN	2	2	0	O95363
NaN		low	378	41.578	NaN	1	1	0	Q96H15
NaN		low	253	29.665	NaN	1	1	0	Q9NQY0
NaN		low	656	75.712	NaN	2	2	0	Q9P0U4
NaN		high	4374	481.891	NaN	11	11	0	Q7Z6Z7
NaN		low	834	91.883	NaN	2	2	0	Q8N271
NaN		low	268	28.998	NaN	1	1	0	Q99618
NaN		medium	1147	121.675	NaN	2	3	0	P36956
NaN		low	685	75.599	NaN	2	2	0	Q68D10
NaN		medium	805	92.577	NaN	3	3	0	Q8TF01
NaN		low	386	43.332	NaN	1	1	0	O60711
NaN		low	495	55.447	NaN	2	2	0	Q9UDV6
NaN		low	596	67.767	NaN	1	1	0	Q9Y616
NaN		low	312	35.48	NaN	1	1	0	Q8NGH9
NaN		low	316	35.763	NaN	1	1	0	Q8NHB8
NaN		low	950	102.428	NaN	2	2	0	Q9Y5H8
NaN		low	1147	130.136	NaN	2	2	0	Q9NQV6
NaN		medium	1863	207.721	NaN	4	4	0	P38398
NaN		medium	1865	215.346	NaN	3	4	0	Q14185
NaN		low	637	72.684	NaN	1	1	0	O14744
NaN		low	297	33.178	NaN	1	1	0	P25325
NaN		low	524	59.024	NaN	1	1	0	P16298
NaN		low	545	60.204	NaN	1	1	0	P57082
NaN		low	505	55.468	NaN	1	1	0	Q9NRY5
NaN		low	413	47.1	NaN	1	1	0	Q96IZ5
NaN		low	535	58.256	NaN	1	1	0	P0C6C1
NaN		low	359	40.476	NaN	1	1	0	O15335
NaN		low	605	68.227	NaN	1	1	0	Q6IBW4
NaN		medium	1990	219.65	NaN	3	3	0	Q9HCD6
NaN		low	406	47.673	NaN	1	1	0	Q9Y2C2
NaN		low	498	55.35	NaN	1	1	0	Q15937
NaN		low	503	57.47	NaN	1	1	0	P24462
NaN		low	802	85.127	NaN	1	1	0	Q8IZ83
NaN		low	530	59.941	NaN	1	1	0	O60656
NaN		low	1911	221.413	NaN	2	2	0	Q5TCS8
NaN		low	921	91.869	NaN	1	1	0	P20849
NaN		low	728	82.07	NaN	1	1	0	Q5VWT5
NaN		low	744	83.921	NaN	1	1	0	Q9C0D3
NaN		low	947	105.567	NaN	1	1	0	Q96QE4
NaN		low	612	69.839	NaN	1	1	0	Q8NAB2
NaN		low	871	97.346	NaN	1	1	0	Q96DR7
NaN		low	2036	229.832	NaN	2	2	0	Q6GYQ0
NaN		low	1596	175.008	NaN	1	1	0	Q9Y6X0
NaN		low	930	101.043	NaN	1	1	0	Q9Y5F9
NaN		low	898	102.281	NaN	1	1	0	Q8NI77
NaN		low	1215	135.489	NaN	1	1	0	Q5T848
NaN		low	952	102.927	NaN	1	1	0	Q8WUI4
NaN		low	1044	119.808	NaN	1	1	0	Q86Z14
NaN		low	1070	122.762	NaN	1	1	0	P42338
NaN		low	1095	122.728	NaN	1	1	0	Q15111
NaN		low	2302	258.715	NaN	1	1	0	Q9P212
NaN		low	1722	199.3	NaN	1	1	0	Q96JM4
NaN		low	1059	122.274	NaN	1	1	0	Q5TYW1
NaN		low	1955	216.069	NaN	1	1	0	Q96QU1
NaN		low	1375	157.311	NaN	1	1	0	Q96K76
NaN		low	2104	236.602	NaN	1	1	0	Q86YA3
NaN		low	1793	190.074	NaN	1	1	0	D6RIA3
NaN		low	1755	200.538	NaN	1	1	0	Q8IWV8
NaN		low	1826	202.789	NaN	1	1	0	Q9NQT8
NaN		low	2610	289.384	NaN	1	1	0	Q9ULT8
NaN		low	5038	565.176	NaN	1	1	0	P21817
NaN		medium	114	11.514	NaN	3	5	0	P05386
NaN		low	201	22.171	NaN	4	11	0	Q9H0U4
NaN		low	208	23.593	NaN	7	15	0	P20340
NaN		high	226	25.497	NaN	9	9	0	Q9Y2Q3
NaN		high	194	21.855	NaN	7	9	0	Q9UL26
NaN		low	180	20.53	NaN	2	7	0	P84085
NaN		low	359	40.15	NaN	2	15	0	Q9BQ04
NaN		medium	462	50.811	NaN	10	14	0	P19793
NaN		high	550	61.586	NaN	19	19	0	Q14247
NaN		high	929	105.674	NaN	31	31	0	Q9NXF1
NaN		medium	300	35.369	NaN	7	7	0	Q9BXY0
NaN		high	446	49.419	NaN	11	11	0	Q9BQ67
NaN		high	686	76.89	NaN	20	20	0	Q969X6
NaN		low	446	49.857	NaN	5	11	0	Q9BUF5
NaN		high	325	35.505	NaN	8	8	0	Q9BQ69
NaN		high	518	55.273	NaN	7	9	0	Q8NCA5
NaN		high	331	35.932	NaN	8	8	0	Q8NBN7
NaN		high	647	70.861	NaN	16	16	0	Q9UFC0
NaN		medium	350	41.213	NaN	7	7	0	P19784
NaN		high	876	97.17	NaN	20	20	0	Q14974
NaN		high	473	52.744	NaN	12	12	0	O15269
NaN		medium	142	16.389	NaN	3	3	0	O15392
NaN		low	173	19.815	NaN	2	5	0	Q93096
NaN		medium	304	34.687	NaN	6	6	0	Q9NVM6
NaN		medium	217	23.468	NaN	3	4	0	Q8WUZ0
NaN		high	886	101.272	NaN	19	19	0	Q9Y5Q9
NaN		medium	229	26.561	NaN	5	5	0	Q9H6E4
NaN		high	534	59.151	NaN	14	14	0	Q8NF37
NaN		medium	356	38.155	NaN	6	6	0	Q5T440
NaN		high	667	75.562	NaN	13	13	0	Q13438
NaN		medium	386	42.963	NaN	4	8	0	P31483
NaN		medium	176	19.836	NaN	5	5	0	Q8N0U8
NaN		medium	351	38.479	NaN	6	6	0	Q12972
NaN		high	2109	238.875	NaN	41	41	0	Q12789
NaN		low	82	8.969	NaN	1	1	0	Q9Y5U9
NaN		medium	279	31.372	NaN	5	5	0	Q68D91
NaN		medium	111	11.986	NaN	3	3	0	Q15004
NaN		medium	198	21.819	NaN	3	3	0	Q9P000
NaN		medium	222	25.625	NaN	4	4	0	Q9H5V9
NaN		high	963	108.171	NaN	16	16	0	Q96HW7
NaN		medium	392	42.911	NaN	6	6	0	P49903
NaN		high	1102	128.302	NaN	22	22	0	Q93009
NaN		medium	246	28.461	NaN	5	5	0	Q9HCU9
NaN		high	911	100.68	NaN	16	16	0	Q8WUA4
NaN		high	1992	220.434	NaN	34	34	0	Q14669
NaN		medium	293	33.238	NaN	5	5	0	Q96ES7
NaN		high	593	64.099	NaN	11	11	0	A0AV96
NaN		medium	248	28.147	NaN	3	3	0	Q15773
NaN		low	125	14.199	NaN	2	2	0	Q9UI30
NaN		low	167	19.127	NaN	1	4	0	Q12974
NaN		high	851	94.087	NaN	14	14	0	Q9H8H2
NaN		high	1153	130.158	NaN	19	19	0	O14617
NaN		medium	152	16.938	NaN	3	3	0	Q9Y3D6
NaN		high	542	59.594	NaN	9	9	0	Q15554
NaN		low	364	39.456	NaN	1	6	0	P09972
NaN		high	636	69.438	NaN	9	9	0	Q86U38
NaN		high	698	77.529	NaN	9	9	0	Q6ZRP7
NaN		medium	312	34.39	NaN	6	6	0	P78549
NaN		low	559	60.874	NaN	3	7	0	Q9BYJ9
NaN		high	592	67.764	NaN	10	10	0	O00186
NaN		medium	445	51.418	NaN	5	6	0	O95674
NaN		medium	234	26.506	NaN	3	3	0	Q9BQ24
NaN		medium	289	32.66	NaN	3	3	0	Q15181
NaN		medium	600	65.949	NaN	6	6	0	Q9BV36
NaN		high	898	102.355	NaN	10	13	0	Q92973
NaN		high	1085	110.114	NaN	12	12	0	O00268
NaN		medium	540	60.491	NaN	6	7	0	Q9NZI7
NaN		medium	240	27.941	NaN	5	5	0	Q9P0P8
NaN		high	711	82.254	NaN	11	11	0	Q9UBD5
NaN		medium	414	48.92	NaN	6	6	0	Q6UWP7
NaN		high	1377	154.911	NaN	18	18	0	Q9UBW7
NaN		high	676	76.667	NaN	8	8	0	Q9BQ70
NaN		medium	435	50.052	NaN	7	7	0	Q9H490
NaN		medium	377	42.549	NaN	5	5	0	Q96RQ1
NaN		high	831	92.068	NaN	11	11	0	Q99523
NaN		medium	384	43.089	NaN	5	5	0	Q96CB9
NaN		medium	447	51.2	NaN	5	5	0	Q9UL15
NaN		medium	189	19.891	NaN	3	3	0	Q99497
NaN		medium	560	61.368	NaN	6	6	0	O00257
NaN		medium	328	38.136	NaN	5	5	0	Q9H7L9
NaN		medium	420	46.744	NaN	3	4	0	P49841
NaN		medium	427	47.864	NaN	6	6	0	Q92466
NaN		medium	415	47.33	NaN	5	6	0	P48730
NaN		medium	458	52.403	NaN	5	6	0	Q9H7Z6
NaN		medium	236	24.776	NaN	3	3	0	Q9BX46
NaN		high	891	101.055	NaN	12	12	0	Q08AF3
NaN		medium	577	63.219	NaN	4	5	0	Q8TF68
NaN		low	435	48.676	NaN	3	7	0	Q99594
NaN		medium	291	32.545	NaN	4	4	0	Q8WWC4
NaN		medium	349	40.259	NaN	5	5	0	Q15545
NaN		medium	580	66.051	NaN	7	7	0	O95243
NaN		medium	396	45.81	NaN	4	4	0	Q9GZN1
NaN		high	620	70.312	NaN	8	8	0	O14975
NaN		medium	339	35.609	NaN	4	4	0	Q13825
NaN		medium	559	62.056	NaN	5	5	0	Q03111
NaN		low	211	22.338	NaN	2	2	0	Q9BQ15
NaN		medium	449	50.047	NaN	4	4	0	Q96N11
NaN		medium	603	68.255	NaN	5	5	0	P53350
NaN		medium	677	75.317	NaN	6	6	0	Q9H334
NaN		high	1437	161.613	NaN	14	15	0	Q9BZ95
NaN		medium	452	51.067	NaN	4	4	0	Q96BW9
NaN		medium	297	33.508	NaN	3	3	0	Q5U3C3
NaN		high	1687	181.42	NaN	15	15	0	Q92766
NaN		medium	298	33.3	NaN	3	3	0	Q9UH92
NaN		high	1004	108.437	NaN	9	9	0	A6NFI3
NaN		medium	520	59.527	NaN	6	6	0	Q6ZWT7
NaN		medium	334	37.237	NaN	4	4	0	Q9BT17
NaN		medium	239	27.131	NaN	4	4	0	Q9NR28
NaN		medium	406	46.649	NaN	4	4	0	Q9UNH7
NaN		high	1723	188.676	NaN	15	15	0	Q9Y4K1
NaN		low	1229	125.092	NaN	2	11	0	A8CG34
NaN		medium	688	77.527	NaN	5	6	0	P78362
NaN		medium	576	64.13	NaN	6	6	0	Q4G176
NaN		medium	743	76.472	NaN	7	7	0	P14859
NaN		medium	626	69.769	NaN	6	6	0	Q9H967
NaN		medium	669	72.454	NaN	4	4	0	O00178
NaN		medium	563	63.63	NaN	4	4	0	P17029
NaN		medium	422	46.738	NaN	3	3	0	Q9UK53
NaN		medium	432	48.902	NaN	3	3	0	O75528
NaN		low	194	22.574	NaN	2	2	0	Q9NP77
NaN		medium	570	63.445	NaN	4	4	0	Q96JP5
NaN		medium	262	29.855	NaN	3	3	0	Q8N6M3
NaN		medium	808	89.631	NaN	7	7	0	Q96KG9
NaN		medium	433	45.981	NaN	4	4	0	Q8N5I2
NaN		medium	339	37.698	NaN	3	3	0	P20226
NaN		high	1498	168.891	NaN	12	12	0	P42695
NaN		medium	600	67.663	NaN	4	4	0	Q5TA45
NaN		low	79	9.079	NaN	1	1	0	P61165
NaN		medium	401	43.013	NaN	4	4	0	Q15583
NaN		medium	386	40.454	NaN	3	3	0	Q96PM9
NaN		low	397	45.229	NaN	2	2	0	Q9C0D9
NaN		medium	287	31.738	NaN	2	3	0	O60479
NaN		medium	611	69.863	NaN	4	4	0	Q9H6U8
NaN		high	1980	218.405	NaN	13	13	0	O60318
NaN		high	1269	144.751	NaN	9	9	0	Q13045
NaN		medium	349	39.354	NaN	3	3	0	P14316
NaN		medium	523	57.557	NaN	3	3	0	Q9UI10
NaN		medium	865	96.767	NaN	6	6	0	Q9H1B5
NaN		medium	828	94.475	NaN	6	6	0	Q5T5X7
NaN		low	212	22.763	NaN	2	2	0	P45877
NaN		medium	447	51.389	NaN	4	4	0	Q9Y6M4
NaN		medium	606	70.399	NaN	5	5	0	Q8N9R8
NaN		medium	454	51.4	NaN	3	3	0	Q6YP21
NaN		low	224	25.261	NaN	2	2	0	Q9BVK8
NaN		medium	1186	126.473	NaN	6	9	0	Q14671
NaN		low	87	9.643	NaN	1	1	0	P18545
NaN		medium	846	94.87	NaN	5	5	0	Q6PCB5
NaN		high	3159	343.489	NaN	20	20	0	Q96L91
NaN		medium	424	44.846	NaN	3	3	0	Q96BI1
NaN		low	192	20.967	NaN	1	1	0	Q8TBK6
NaN		low	340	39.075	NaN	2	2	0	Q11201
NaN		low	145	16.832	NaN	1	1	0	Q9Y5R8
NaN		medium	638	73.515	NaN	4	4	0	P49761
NaN		high	2236	236.123	NaN	10	12	0	Q8NFD5
NaN		low	327	35.204	NaN	2	2	0	Q8N0Y2
NaN		medium	576	65.991	NaN	3	3	0	P43250
NaN		medium	932	97.395	NaN	5	5	0	Q9NTZ6
NaN		medium	822	92.098	NaN	4	4	0	Q8NB78
NaN		medium	984	112.035	NaN	5	5	0	Q16513
NaN		low	257	29.383	NaN	2	2	0	Q8TBR7
NaN		medium	1491	164.581	NaN	6	6	0	Q96QZ7
NaN		low	212	23.498	NaN	1	1	0	Q86SG7
NaN		medium	492	55.042	NaN	3	3	0	Q9H9L4
NaN		medium	709	79.745	NaN	4	4	0	Q9NUQ8
NaN		medium	462	52.113	NaN	3	3	0	Q86Y97
NaN		medium	1199	136.971	NaN	6	6	0	Q6P1X5
NaN		medium	755	85.047	NaN	4	4	0	Q13433
NaN		medium	1089	118.699	NaN	5	5	0	Q8TEQ8
NaN		medium	1374	159.316	NaN	7	7	0	Q9NRR4
NaN		low	178	19.52	NaN	1	1	0	Q9H204
NaN		medium	2036	211.044	NaN	6	6	0	Q9ULL5
NaN		medium	959	106.057	NaN	4	4	0	Q9UHL9
NaN		low	190	21.649	NaN	1	1	0	Q96H35
NaN		medium	1707	186.034	NaN	6	6	0	O15047
NaN		low	519	56.494	NaN	2	2	0	Q8N9N5
NaN		low	247	28.385	NaN	1	1	0	Q5BKY9
NaN		medium	963	109.563	NaN	3	3	0	Q7Z3J2
NaN		low	278	31.863	NaN	1	1	0	Q96CS2
NaN		low	856	96.686	NaN	2	2	0	Q6PJF5
NaN		low	537	59.752	NaN	1	1	0	Q96BV0
NaN		medium	1299	139.001	NaN	3	3	0	Q6P4R8
NaN		low	246	27.424	NaN	1	1	0	Q9UI43
NaN		medium	1603	168.349	NaN	3	3	0	Q5TGY3
NaN		low	330	36.915	NaN	1	1	0	Q96G04
NaN		low	866	101.272	NaN	2	2	0	Q9BXJ9
NaN		low	708	78.402	NaN	1	1	0	Q4G163
NaN		low	1035	107.095	NaN	2	2	0	Q9P206
